time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
-0.0011,52.840,-508.776,475.009,-2.90243,1.20229,-0.00006
0.0167,52.854,-508.799,475.008,2.90242,-1.20220,0.00008
0.0329,52.863,-508.782,475.009,2.90246,-1.20220,0.00006
0.0487,52.868,-508.787,474.999,-2.90247,1.20218,-0.00006
0.0681,52.831,-508.774,475.020,2.90242,-1.20226,0.00005
0.0829,52.839,-508.760,475.045,2.90237,-1.20222,0.00003
0.0987,52.858,-508.784,475.016,2.90242,-1.20224,0.00011
0.1167,52.842,-508.772,475.018,2.90241,-1.20220,-0.00002
0.1325,52.850,-508.784,475.028,2.90240,-1.20220,0.00004
0.1487,52.836,-508.780,475.038,2.90235,-1.20221,0.00004
0.1666,52.840,-508.787,474.999,2.90245,-1.20223,0.00001
0.1826,52.815,-508.757,475.024,2.90239,-1.20233,-0.00003
0.1985,52.860,-508.764,475.039,2.90243,-1.20213,0.00009
0.2166,52.837,-508.776,475.018,2.90239,-1.20227,0.00006
0.2326,52.855,-508.773,474.986,-2.90241,1.20222,-0.00003
0.2487,52.838,-508.764,475.039,2.90237,-1.20226,0.00003
0.2666,52.837,-508.781,475.009,2.90240,-1.20222,-0.00003
0.2826,52.847,-508.772,475.034,2.90241,-1.20218,0.00009
0.2989,52.846,-508.792,475.013,2.90242,-1.20220,0.00006
0.3167,52.849,-508.786,474.994,2.90239,-1.20215,0.00006
0.3327,52.844,-508.778,474.944,2.90227,-1.20216,0.00005
0.3507,52.854,-508.731,474.794,2.90232,-1.20212,0.00006
0.3667,52.862,-508.733,474.554,2.90232,-1.20215,0.00011
0.3827,52.852,-508.708,474.257,2.90234,-1.20217,0.00006
0.4008,52.840,-508.737,473.844,2.90231,-1.20211,0.00001
0.4167,52.825,-508.778,473.427,2.90225,-1.20209,0.00003
0.4328,52.845,-508.734,472.907,2.90235,-1.20219,0.00003
0.4519,52.835,-508.775,472.291,2.90223,-1.20212,0.00007
0.4668,52.821,-508.761,471.637,2.90233,-1.20213,0.00002
0.4829,52.849,-508.758,470.915,2.90235,-1.20223,0.00007
0.5008,52.805,-508.745,470.037,2.90235,-1.20225,-0.00001
0.5168,52.831,-508.726,469.192,2.90240,-1.20225,-0.00002
0.5327,52.810,-508.769,468.323,2.90230,-1.20223,0.00003
0.5507,52.806,-508.791,467.198,2.90237,-1.20223,-0.00002
0.5668,52.804,-508.793,466.202,2.90236,-1.20231,0.00002
0.5828,52.824,-508.799,465.295,2.90224,-1.20220,0.00004
0.6008,52.797,-508.782,464.231,2.90221,-1.20229,0.00006
0.6168,52.804,-508.795,463.248,2.90219,-1.20227,0.00003
0.6340,52.810,-508.778,462.276,2.90226,-1.20224,0.00002
0.6508,52.801,-508.739,461.146,2.90239,-1.20237,-0.00004
0.6668,52.804,-508.742,460.165,-2.90236,1.20238,0.00008
0.6848,52.817,-508.753,459.075,2.90243,-1.20226,-0.00007
0.7007,52.814,-508.739,458.081,-2.90236,1.20229,0.00007
0.7167,52.825,-508.770,457.127,2.90243,-1.20226,-0.00007
0.7348,52.832,-508.757,456.048,-2.90240,1.20224,0.00001
0.7508,52.835,-508.809,455.113,2.90233,-1.20219,0.00004
0.7668,52.833,-508.826,454.174,2.90218,-1.20215,0.00008
0.7848,52.834,-508.805,453.098,2.90219,-1.20215,0.00008
0.8007,52.835,-508.790,452.086,2.90232,-1.20222,0.00007
0.8167,52.853,-508.775,451.098,2.90240,-1.20219,0.00005
0.8348,52.843,-508.754,449.956,-2.90239,1.20221,0.00009
0.8507,52.835,-508.762,449.006,-2.90237,1.20230,-0.00000
0.8668,52.838,-508.748,448.032,-2.90236,1.20219,0.00003
0.8848,52.849,-508.794,446.991,2.90239,-1.20218,0.00006
0.9007,52.842,-508.768,446.024,2.90241,-1.20226,0.00003
0.9167,52.835,-508.761,445.019,-2.90243,1.20223,0.00002
0.9349,52.836,-508.790,443.934,2.90238,-1.20216,0.00001
0.9507,52.849,-508.796,442.985,2.90232,-1.20212,0.00010
