time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.3422,55.066,-508.816,474.839,2.90217,-1.20211,0.00017
0.4094,55.053,-508.839,473.450,2.90218,-1.20207,0.00007
0.4722,55.053,-508.819,470.899,2.90241,-1.20211,-0.00001
0.5372,55.036,-508.816,468.312,2.90231,-1.20230,0.00002
0.6052,55.009,-508.837,464.190,2.90229,-1.20230,-0.00000
0.6682,55.019,-508.809,460.162,-2.90238,1.20233,0.00003
0.7321,54.995,-508.832,456.016,-2.90233,1.20238,0.00008
0.8007,55.005,-508.883,452.102,2.90224,-1.20225,0.00002
0.8632,55.052,-508.811,448.046,-2.90241,1.20222,0.00007
0.9281,55.052,-508.858,443.932,2.90240,-1.20221,0.00009
0.9985,55.047,-508.868,439.963,2.90231,-1.20219,0.00007
1.0581,55.031,-508.792,435.853,2.90241,-1.20224,-0.00002
1.1262,55.049,-508.832,431.787,-2.90244,1.20222,0.00007
1.1892,55.051,-508.851,428.849,2.90224,-1.20217,0.00006
1.2541,55.068,-508.815,424.801,2.90247,-1.20219,0.00005
1.3216,55.060,-508.832,420.672,2.90246,-1.20219,0.00002
1.3842,55.055,-508.827,416.716,2.90235,-1.20226,0.00008
1.4491,55.058,-508.817,412.544,-2.90238,1.20225,0.00004
1.5166,55.032,-508.837,408.573,2.90236,-1.20227,-0.00005
1.5801,55.047,-508.843,404.551,2.90240,-1.20223,-0.00000
1.6441,55.042,-508.858,400.464,2.90237,-1.20220,-0.00001
1.7159,55.040,-508.876,396.465,2.90231,-1.20210,0.00003
1.7751,55.047,-508.872,393.418,2.90233,-1.20217,0.00010
1.8441,55.064,-508.836,388.273,-2.90238,1.20219,0.00001
1.9052,55.033,-508.819,385.306,2.90241,-1.20228,-0.00002
1.9701,55.048,-508.859,381.363,2.90228,-1.20212,0.00010
2.0375,55.045,-508.835,377.130,-2.90227,1.20230,0.00001
2.1012,55.056,-508.829,373.100,-2.90234,1.20217,0.00005
2.1661,55.065,-508.836,369.185,2.90212,-1.20216,0.00017
2.2337,55.075,-508.805,365.088,2.90244,-1.20223,0.00004
2.2961,55.064,-508.821,360.977,-2.90229,1.20215,0.00003
2.3626,55.038,-508.849,356.909,-2.90242,1.20230,0.00003
2.4283,55.046,-508.811,352.986,2.90233,-1.20229,0.00004
2.4921,55.059,-508.812,349.887,-2.90239,1.20225,-0.00001
2.5597,55.032,-508.892,345.881,2.90214,-1.20218,0.00008
2.6222,55.052,-508.822,341.797,-2.90241,1.20227,0.00001
2.6871,55.062,-508.818,337.649,-2.90238,1.20223,0.00005
2.7567,55.048,-508.896,333.633,2.90245,-1.20224,0.00006
2.8172,55.055,-508.844,329.600,-2.90223,1.20215,0.00009
2.8820,55.019,-508.871,325.520,-2.90239,1.20224,0.00008
2.9527,55.042,-508.844,321.527,-2.90242,1.20227,0.00001
3.0131,55.035,-508.816,317.402,-2.90231,1.20226,0.00006
3.0799,55.053,-508.859,313.415,-2.90245,1.20217,0.00000
3.1432,55.029,-508.908,310.454,2.90222,-1.20223,0.00010
3.2081,55.053,-508.838,306.440,2.90240,-1.20226,0.00006
3.2775,55.073,-508.799,302.326,2.90242,-1.20218,0.00005
3.3382,55.034,-508.879,298.427,2.90209,-1.20218,0.00013
3.4042,55.058,-508.838,294.174,2.90242,-1.20224,0.00006
