time_s,phase,robot_z_mm,truth_mm,raw_kalman,filt_kalman,vel_kalman,raw_learned,filt_learned,vel_learned
0.3289,1,474.978,618.28,649.8,649.80,0.0,640.6,640.61,0.0
0.3927,1,474.241,617.54,649.8,649.80,0.0,640.6,640.61,0.0
0.4630,1,471.585,614.88,650.8,650.66,7.8,641.6,641.51,10.6
0.5260,1,469.148,612.45,645.3,646.96,-23.4,636.1,637.04,-55.7
0.5871,1,465.253,608.55,647.3,646.62,-15.6,638.1,637.40,-6.1
0.6524,1,461.129,604.43,641.8,643.25,-32.0,632.6,633.25,-54.0
0.7171,1,457.135,600.43,633.8,636.69,-63.2,624.6,625.37,-110.1
0.7822,1,453.124,596.42,629.8,631.02,-74.1,620.6,620.26,-83.9
0.8495,1,448.925,592.23,624.8,625.29,-79.0,615.6,615.47,-73.1
0.9121,1,445.913,589.21,623.3,622.09,-67.4,614.1,613.62,-37.8
0.9782,1,441.039,584.34,618.3,618.04,-64.7,609.3,609.59,-57.2
1.0455,1,437.909,581.21,614.3,614.06,-62.2,605.5,605.55,-59.6
1.1081,1,433.821,577.12,616.3,613.83,-37.4,607.4,606.56,2.0
1.1732,1,429.834,573.13,607.8,609.33,-51.4,599.3,600.39,-78.6
1.2411,1,425.693,568.99,598.3,601.35,-81.3,590.2,590.87,-130.9
1.3034,1,421.696,565.00,596.8,596.56,-79.5,588.8,587.82,-64.5
1.3692,1,417.714,561.01,589.3,590.16,-87.1,581.5,581.83,-86.6
1.4421,1,413.623,556.92,592.3,588.96,-54.7,584.4,583.33,7.8
1.4991,1,409.557,552.86,585.3,585.56,-56.4,577.7,578.75,-60.0
1.5668,1,405.448,548.75,582.3,582.06,-54.5,574.8,574.77,-58.9
1.6292,1,402.486,545.79,576.8,577.61,-61.0,569.5,569.72,-76.8
1.6942,1,398.439,541.74,574.3,574.02,-58.7,567.0,566.70,-51.6
1.7617,1,394.476,537.78,572.3,571.36,-50.6,565.1,564.84,-31.2
1.8243,1,390.307,533.61,570.8,569.68,-41.2,563.6,563.53,-22.9
1.8903,1,386.360,529.66,556.8,561.08,-78.4,550.0,551.74,-153.3
1.9579,1,382.178,525.48,555.8,555.79,-78.3,549.1,547.99,-70.4
2.0202,1,378.201,521.50,555.3,553.28,-63.7,548.6,547.79,-15.9
2.0865,1,374.285,517.59,545.8,547.26,-74.6,539.3,540.34,-97.0
2.1568,1,370.085,513.38,544.3,543.32,-66.8,537.8,537.25,-51.1
2.2153,1,366.061,509.36,539.8,539.62,-65.6,533.4,533.55,-60.6
2.2850,1,362.015,505.31,539.8,537.76,-49.2,533.4,532.87,-16.7
2.3463,1,358.997,502.30,531.8,533.13,-59.0,525.6,526.56,-85.9
2.4117,1,354.939,498.24,530.8,530.13,-53.8,524.6,524.04,-46.3
2.4798,1,350.907,494.21,525.8,526.08,-56.1,519.7,519.82,-59.6
2.5412,1,346.864,490.16,524.3,523.56,-50.4,518.2,517.86,-37.4
2.6062,1,342.933,486.23,516.8,518.32,-62.6,510.8,511.46,-88.1
2.6759,1,338.712,482.01,512.3,512.99,-68.5,506.3,506.21,-77.1
2.7361,1,334.655,477.95,510.3,509.67,-63.5,504.4,503.91,-46.2
2.8021,1,330.704,474.00,502.3,503.66,-74.9,496.5,497.09,-94.2
2.8719,1,326.613,469.91,501.3,500.12,-64.4,495.5,494.81,-41.1
2.9322,1,322.635,465.94,495.3,495.71,-67.8,489.5,489.98,-72.2
