time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
-0.0003,52.939,-508.741,475.110,-2.82790,1.17117,-0.05118
0.0150,52.922,-508.756,475.049,-2.82777,1.17112,-0.05116
0.0311,52.928,-508.749,475.042,-2.82780,1.17111,-0.05109
0.0490,52.923,-508.762,475.022,-2.82776,1.17114,-0.05110
0.0650,52.947,-508.752,475.036,-2.82779,1.17104,-0.05116
0.0810,52.933,-508.757,475.044,-2.82782,1.17110,-0.05113
0.0990,52.956,-508.736,475.059,-2.82782,1.17109,-0.05117
0.1150,52.937,-508.737,475.067,-2.82783,1.17107,-0.05114
0.1310,52.951,-508.731,475.069,-2.82785,1.17104,-0.05118
0.1490,52.942,-508.725,475.053,-2.82779,1.17101,-0.05114
0.1650,52.949,-508.735,475.050,-2.82783,1.17089,-0.05112
0.1830,52.953,-508.712,475.055,-2.82779,1.17094,-0.05111
0.1990,52.907,-508.754,475.025,-2.82774,1.17105,-0.05113
0.2151,52.887,-508.777,474.992,-2.82767,1.17105,-0.05113
0.2331,52.848,-508.764,474.963,-2.82747,1.17118,-0.05109
0.2490,52.866,-508.767,474.980,-2.82752,1.17117,-0.05114
0.2650,52.855,-508.771,474.971,-2.82749,1.17120,-0.05117
0.2831,52.849,-508.777,474.959,-2.82750,1.17117,-0.05108
0.2992,52.855,-508.767,474.986,-2.82755,1.17115,-0.05115
0.3152,52.866,-508.767,474.956,-2.82755,1.17112,-0.05115
0.3332,52.869,-508.731,474.873,-2.82756,1.17111,-0.05113
0.3492,52.864,-508.692,474.763,-2.82758,1.17117,-0.05114
0.3651,52.875,-508.688,474.580,-2.82766,1.17118,-0.05116
0.3832,52.873,-508.720,474.200,-2.82761,1.17109,-0.05117
0.3992,52.846,-508.782,473.813,-2.82768,1.17115,-0.05115
0.4171,52.833,-508.773,473.324,-2.82752,1.17112,-0.05109
0.4338,52.840,-508.794,472.704,-2.82739,1.17108,-0.05105
0.4490,52.836,-508.812,472.149,-2.82748,1.17104,-0.05108
0.4652,52.811,-508.817,471.492,-2.82734,1.17110,-0.05106
