time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.3247,52.866,-508.767,474.956,-2.82755,1.17112,-0.05115
0.3998,52.846,-508.782,473.813,-2.82768,1.17115,-0.05115
0.4516,52.836,-508.812,472.149,-2.82748,1.17104,-0.05108
0.5190,52.846,-508.807,469.110,-2.82764,1.17110,-0.05117
0.5817,52.805,-508.778,466.193,-2.82766,1.17124,-0.05117
0.6466,52.810,-508.847,462.169,-2.82767,1.17122,-0.05120
0.7141,52.801,-508.777,458.104,-2.82741,1.17120,-0.05103
0.7767,52.794,-508.833,454.144,-2.82787,1.17144,-0.05130
0.8426,52.813,-508.761,450.092,-2.82767,1.17131,-0.05115
0.9086,52.796,-508.791,445.928,-2.82750,1.17136,-0.05111
0.9727,52.817,-508.762,441.930,-2.82761,1.17125,-0.05112
1.0375,52.826,-508.796,437.973,-2.82770,1.17120,-0.05120
1.1079,52.824,-508.778,433.830,-2.82761,1.17120,-0.05115
1.1676,52.820,-508.792,429.839,-2.82763,1.17130,-0.05116
1.2334,52.833,-508.736,426.819,-2.82759,1.17124,-0.05113
1.2977,52.832,-508.771,422.649,-2.82750,1.17120,-0.05117
1.3637,52.804,-508.806,418.749,-2.82783,1.17133,-0.05120
1.4298,52.832,-508.756,414.648,-2.82747,1.17119,-0.05111
1.4937,52.831,-508.764,410.616,-2.82769,1.17124,-0.05118
1.5587,52.808,-508.814,406.550,-2.82766,1.17129,-0.05117
1.6260,52.845,-508.756,402.458,-2.82757,1.17125,-0.05117
1.6886,52.836,-508.778,398.433,-2.82756,1.17120,-0.05113
1.7536,52.804,-508.787,394.445,-2.82766,1.17129,-0.05107
1.8205,52.830,-508.768,390.357,-2.82761,1.17128,-0.05117
1.8847,52.841,-508.762,387.258,-2.82748,1.17121,-0.05113
1.9520,52.828,-508.818,383.252,-2.82756,1.17121,-0.05117
2.0147,52.837,-508.754,379.195,-2.82753,1.17128,-0.05114
2.0796,52.828,-508.758,375.178,-2.82758,1.17124,-0.05117
2.1464,52.818,-508.815,371.147,-2.82760,1.17123,-0.05117
2.2097,52.828,-508.772,367.000,-2.82744,1.17121,-0.05105
2.2746,52.828,-508.754,363.091,-2.82763,1.17129,-0.05116
2.3422,52.834,-508.812,359.071,-2.82790,1.17137,-0.05127
2.4057,52.816,-508.792,354.925,-2.82753,1.17127,-0.05115
2.4696,52.825,-508.787,350.926,-2.82753,1.17121,-0.05110
2.5375,52.829,-508.791,346.829,-2.82764,1.17129,-0.05117
2.6006,52.834,-508.758,343.865,-2.82768,1.17129,-0.05117
2.6681,52.825,-508.769,339.867,-2.82769,1.17132,-0.05116
2.7307,52.848,-508.793,335.673,-2.82769,1.17121,-0.05119
2.7956,52.845,-508.748,331.602,-2.82735,1.17115,-0.05107
2.8623,52.814,-508.810,327.525,-2.82749,1.17118,-0.05113
2.9267,52.843,-508.836,323.523,-2.82761,1.17120,-0.05117
2.9906,52.831,-508.781,319.461,-2.82738,1.17111,-0.05109
3.0589,52.823,-508.809,315.385,-2.82748,1.17122,-0.05106
3.1217,52.817,-508.813,311.447,-2.82766,1.17130,-0.05118
3.1878,52.813,-508.782,308.425,-2.82756,1.17125,-0.05112
3.2518,52.823,-508.789,304.294,-2.82756,1.17124,-0.05113
3.3166,52.841,-508.773,300.306,-2.82766,1.17121,-0.05116
3.3845,52.826,-508.778,296.371,-2.82775,1.17126,-0.05119
3.4477,52.836,-508.768,292.259,-2.82771,1.17124,-0.05117
3.5116,52.838,-508.763,288.238,-2.82769,1.17124,-0.05115
3.5803,52.821,-508.795,284.105,-2.82766,1.17120,-0.05116
