time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.0035,56.885,-509.140,475.007,2.90243,-1.20225,-0.00001
0.0058,56.885,-509.140,475.007,2.90243,-1.20225,-0.00001
0.0079,56.885,-509.140,475.007,2.90243,-1.20225,-0.00001
0.0095,56.885,-509.140,475.007,2.90243,-1.20225,-0.00001
0.0112,56.885,-509.140,475.007,2.90243,-1.20225,-0.00001
0.0130,56.908,-509.129,474.995,-2.90240,1.20228,-0.00003
0.0146,56.908,-509.129,474.995,-2.90240,1.20228,-0.00003
0.0159,56.908,-509.129,474.995,-2.90240,1.20228,-0.00003
0.0171,56.908,-509.129,474.995,-2.90240,1.20228,-0.00003
0.0184,56.908,-509.129,474.995,-2.90240,1.20228,-0.00003
0.0197,56.908,-509.129,474.995,-2.90240,1.20228,-0.00003
0.0208,56.908,-509.129,474.995,-2.90240,1.20228,-0.00003
0.0219,56.908,-509.129,474.995,-2.90240,1.20228,-0.00003
0.0230,56.908,-509.129,474.995,-2.90240,1.20228,-0.00003
0.0241,56.908,-509.129,474.995,-2.90240,1.20228,-0.00003
0.0250,56.908,-509.129,474.995,-2.90240,1.20228,-0.00003
0.0260,56.908,-509.129,474.995,-2.90240,1.20228,-0.00003
0.0269,56.908,-509.129,474.995,-2.90240,1.20228,-0.00003
0.0278,56.908,-509.129,474.995,-2.90240,1.20228,-0.00003
0.0287,56.908,-509.129,474.995,-2.90240,1.20228,-0.00003
0.0296,56.908,-509.129,474.995,-2.90240,1.20228,-0.00003
0.0305,56.914,-509.152,474.977,-2.90244,1.20215,-0.00001
0.0313,56.914,-509.152,474.977,-2.90244,1.20215,-0.00001
0.0322,56.914,-509.152,474.977,-2.90244,1.20215,-0.00001
0.0331,56.914,-509.152,474.977,-2.90244,1.20215,-0.00001
0.0339,56.914,-509.152,474.977,-2.90244,1.20215,-0.00001
0.0347,56.914,-509.152,474.977,-2.90244,1.20215,-0.00001
0.0354,56.914,-509.152,474.977,-2.90244,1.20215,-0.00001
0.0362,56.914,-509.152,474.977,-2.90244,1.20215,-0.00001
0.0370,56.914,-509.152,474.977,-2.90244,1.20215,-0.00001
0.0377,56.914,-509.152,474.977,-2.90244,1.20215,-0.00001
