time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.0014,57.074,-508.828,475.020,2.90242,-1.20223,0.00002
0.0022,57.074,-508.828,475.020,2.90242,-1.20223,0.00002
0.0031,57.074,-508.828,475.020,2.90242,-1.20223,0.00002
0.0039,57.074,-508.828,475.020,2.90242,-1.20223,0.00002
0.0048,57.074,-508.828,475.020,2.90242,-1.20223,0.00002
0.0058,57.074,-508.828,475.020,2.90242,-1.20223,0.00002
0.0077,57.074,-508.828,475.020,2.90242,-1.20223,0.00002
0.0088,57.074,-508.828,475.020,2.90242,-1.20223,0.00002
0.0103,57.074,-508.828,475.020,2.90242,-1.20223,0.00002
0.0121,57.074,-508.828,475.020,2.90242,-1.20223,0.00002
0.0133,57.067,-508.829,475.006,2.90242,-1.20223,-0.00002
0.0144,57.067,-508.829,475.006,2.90242,-1.20223,-0.00002
0.0156,57.067,-508.829,475.006,2.90242,-1.20223,-0.00002
0.0168,57.067,-508.829,475.006,2.90242,-1.20223,-0.00002
0.0181,57.067,-508.829,475.006,2.90242,-1.20223,-0.00002
0.0194,57.067,-508.829,475.006,2.90242,-1.20223,-0.00002
0.0207,57.067,-508.829,475.006,2.90242,-1.20223,-0.00002
0.0219,57.067,-508.829,475.006,2.90242,-1.20223,-0.00002
0.0230,57.067,-508.829,475.006,2.90242,-1.20223,-0.00002
0.0242,57.067,-508.829,475.006,2.90242,-1.20223,-0.00002
0.0252,57.067,-508.829,475.006,2.90242,-1.20223,-0.00002
0.0262,57.067,-508.829,475.006,2.90242,-1.20223,-0.00002
0.0272,57.067,-508.829,475.006,2.90242,-1.20223,-0.00002
0.0283,57.046,-508.833,475.006,2.90242,-1.20225,-0.00000
0.0292,57.046,-508.833,475.006,2.90242,-1.20225,-0.00000
0.0301,57.046,-508.833,475.006,2.90242,-1.20225,-0.00000
0.0312,57.046,-508.833,475.006,2.90242,-1.20225,-0.00000
0.0322,57.046,-508.833,475.006,2.90242,-1.20225,-0.00000
0.0331,57.046,-508.833,475.006,2.90242,-1.20225,-0.00000
0.0428,57.046,-508.833,475.006,2.90242,-1.20225,-0.00000
0.1081,57.064,-508.837,475.010,2.90239,-1.20224,0.00005
0.1733,57.069,-508.820,475.000,2.90245,-1.20222,-0.00003
0.2380,57.090,-508.846,475.015,2.90239,-1.20222,0.00007
0.3037,57.073,-508.837,475.013,2.90242,-1.20221,0.00006
0.3689,57.060,-508.823,475.009,2.90243,-1.20226,0.00003
0.4346,57.064,-508.838,475.015,2.90238,-1.20223,0.00005
0.4987,57.067,-508.815,475.020,2.90244,-1.20220,-0.00000
0.5642,57.085,-508.819,474.996,-2.90245,1.20222,-0.00006
0.6307,57.053,-508.835,475.006,2.90240,-1.20232,0.00007
0.6942,57.072,-508.825,475.010,2.90244,-1.20222,0.00003
0.7597,57.069,-508.807,475.023,2.90243,-1.20227,0.00003
0.8246,57.084,-508.806,475.013,-2.90245,1.20222,-0.00004
0.8893,57.058,-508.834,474.994,2.90243,-1.20229,-0.00001
0.9547,57.078,-508.803,475.003,-2.90246,1.20216,0.00000
1.0195,57.084,-508.822,475.012,2.90243,-1.20219,0.00004
1.0860,57.065,-508.842,475.013,2.90238,-1.20225,-0.00001
1.1497,57.057,-508.832,475.021,2.90237,-1.20219,-0.00002
1.2152,57.095,-508.806,475.015,2.90249,-1.20212,0.00001
1.2800,57.065,-508.820,475.019,2.90242,-1.20215,-0.00003
1.3452,57.083,-508.826,475.024,2.90243,-1.20209,0.00001
1.4106,57.071,-508.810,475.022,2.90241,-1.20226,0.00006
1.4772,57.072,-508.822,475.028,2.90239,-1.20223,0.00001
1.5407,57.076,-508.836,475.005,2.90244,-1.20222,0.00003
1.6063,57.080,-508.812,475.016,2.90245,-1.20220,0.00003
1.6707,57.063,-508.822,475.000,2.90243,-1.20229,0.00001
1.7363,57.084,-508.820,475.009,2.90247,-1.20217,0.00003
1.8016,57.065,-508.806,475.017,2.90241,-1.20225,-0.00002
1.8675,57.058,-508.809,475.005,2.90244,-1.20224,-0.00003
1.9319,57.080,-508.829,475.001,2.90245,-1.20220,0.00001
1.9967,57.070,-508.834,475.002,2.90243,-1.20223,0.00003
2.0615,57.070,-508.818,475.035,2.90238,-1.20219,0.00004
2.1282,57.061,-508.816,475.010,2.90242,-1.20227,-0.00001
2.1929,57.082,-508.819,475.021,2.90241,-1.20225,0.00006
2.2573,57.077,-508.811,475.033,2.90241,-1.20218,0.00003
2.3221,57.057,-508.820,475.001,2.90244,-1.20222,-0.00003
2.3873,57.066,-508.822,475.016,2.90242,-1.20223,0.00004
2.4526,57.057,-508.815,475.024,2.90240,-1.20220,-0.00001
2.5177,57.094,-508.818,475.018,2.90243,-1.20219,0.00006
2.5834,57.070,-508.815,475.031,2.90237,-1.20223,0.00004
2.6479,57.059,-508.807,475.012,-2.90245,1.20222,0.00003
2.7126,57.082,-508.796,475.042,2.90240,-1.20220,0.00001
2.7795,57.067,-508.822,475.014,2.90241,-1.20218,-0.00005
2.8431,57.076,-508.812,475.012,2.90244,-1.20219,-0.00002
2.9087,57.067,-508.819,475.015,2.90245,-1.20220,0.00003
2.9732,57.080,-508.810,475.027,2.90241,-1.20222,0.00004
3.0386,57.076,-508.815,475.010,2.90247,-1.20217,0.00001
3.1036,57.060,-508.818,475.035,2.90237,-1.20223,0.00002
3.1687,57.069,-508.820,475.001,2.90245,-1.20222,0.00001
3.2340,57.061,-508.831,474.993,-2.90244,1.20224,-0.00000
3.2991,57.067,-508.816,475.007,2.90243,-1.20221,-0.00000
3.3641,57.067,-508.810,474.987,2.90237,-1.20221,0.00002
3.4296,57.076,-508.790,474.807,2.90240,-1.20215,0.00005
3.4946,57.080,-508.775,474.537,2.90237,-1.20222,0.00007
3.5607,57.080,-508.790,473.971,-2.90239,1.20218,0.00000
3.6246,57.059,-508.821,473.424,2.90243,-1.20224,-0.00001
3.6908,57.069,-508.813,472.643,-2.90238,1.20218,0.00003
3.7547,57.054,-508.813,471.849,2.90246,-1.20216,-0.00002
3.8201,57.045,-508.796,470.864,2.90236,-1.20225,0.00003
3.8856,57.064,-508.796,470.037,2.90233,-1.20214,-0.00000
3.9504,57.047,-508.783,468.887,2.90224,-1.20222,0.00000
4.0154,57.039,-508.838,467.657,2.90234,-1.20238,0.00000
4.0805,57.038,-508.875,466.440,2.90237,-1.20230,-0.00001
4.1470,57.022,-508.858,465.330,2.90231,-1.20219,0.00001
4.2109,57.024,-508.794,464.206,2.90231,-1.20219,-0.00005
4.2761,57.045,-508.785,463.007,2.90234,-1.20221,0.00007
4.3429,57.037,-508.792,461.794,-2.90235,1.20226,0.00006
4.4071,57.028,-508.826,460.551,-2.90226,1.20225,0.00005
4.4726,57.030,-508.793,459.466,-2.90236,1.20233,0.00000
4.5366,57.112,-508.789,458.320,2.90252,-1.20208,0.00002
4.6020,57.156,-508.790,457.384,-2.90254,1.20187,0.00008
4.6677,57.184,-508.764,456.235,-2.90252,1.20196,0.00005
4.7325,57.187,-508.824,455.124,2.90250,-1.20182,0.00007
4.7982,57.140,-508.854,453.891,2.90251,-1.20194,0.00003
4.8631,57.127,-508.813,452.760,2.90251,-1.20200,0.00005
4.9273,57.076,-508.834,451.591,2.90239,-1.20206,0.00003
4.9926,57.054,-508.817,450.436,2.90234,-1.20214,-0.00002
5.0575,57.067,-508.799,449.209,-2.90238,1.20231,0.00001
5.1233,57.065,-508.824,448.043,2.90243,-1.20220,-0.00002
5.1881,57.040,-508.843,447.207,2.90238,-1.20226,0.00002
5.2530,57.038,-508.813,445.998,-2.90233,1.20226,0.00006
5.3183,57.047,-508.775,444.811,-2.90234,1.20226,0.00005
5.3838,57.049,-508.807,443.718,2.90236,-1.20228,0.00007
5.4482,57.050,-508.794,442.568,2.90232,-1.20222,0.00000
5.5139,57.060,-508.813,441.341,2.90241,-1.20227,0.00006
5.5782,57.041,-508.869,440.141,-2.90240,1.20226,0.00003
5.6436,57.057,-508.849,438.933,-2.90235,1.20223,-0.00001
5.7088,57.041,-508.820,437.896,2.90230,-1.20220,0.00007
5.7744,57.050,-508.801,436.733,2.90227,-1.20230,0.00009
5.8391,57.040,-508.753,435.835,2.90242,-1.20225,-0.00005
5.9057,57.041,-508.791,434.614,-2.90237,1.20232,0.00001
5.9697,57.041,-508.818,433.429,-2.90238,1.20222,0.00011
6.0346,57.126,-508.804,432.172,-2.90234,1.20193,0.00009
6.1005,57.148,-508.833,431.138,2.90244,-1.20196,0.00001
6.1661,57.166,-508.820,430.011,2.90242,-1.20189,0.00007
6.2297,57.158,-508.804,428.822,2.90245,-1.20181,0.00010
6.2952,57.127,-508.786,427.680,2.90238,-1.20199,0.00006
6.3599,57.059,-508.822,426.407,2.90246,-1.20219,0.00001
6.4257,57.067,-508.854,425.249,-2.90247,1.20216,-0.00003
6.4905,57.052,-508.859,424.128,2.90234,-1.20225,0.00007
6.5557,57.073,-508.807,423.188,-2.90233,1.20220,0.00006
6.6207,57.063,-508.812,422.047,-2.90246,1.20220,0.00005
6.6860,57.054,-508.783,420.938,2.90240,-1.20221,0.00002
6.7508,57.060,-508.819,419.755,2.90236,-1.20211,0.00004
6.8161,57.056,-508.832,418.542,2.90239,-1.20228,0.00001
6.8810,57.058,-508.802,417.405,2.90236,-1.20226,0.00003
6.9467,57.031,-508.826,416.218,2.90236,-1.20233,0.00000
7.0115,57.049,-508.839,415.033,-2.90240,1.20226,-0.00004
7.0767,57.041,-508.801,413.808,-2.90236,1.20222,0.00007
7.1413,57.035,-508.806,412.989,-2.90242,1.20222,0.00000
7.2072,57.044,-508.790,411.817,-2.90237,1.20231,0.00002
7.2717,57.038,-508.832,410.670,2.90236,-1.20228,0.00005
7.3371,57.052,-508.845,409.510,2.90235,-1.20225,0.00007
7.4018,57.042,-508.837,408.342,2.90228,-1.20225,0.00008
7.4675,57.111,-508.858,407.167,2.90234,-1.20196,0.00008
7.5323,57.170,-508.800,405.963,-2.90252,1.20189,-0.00005
7.5977,57.129,-508.805,404.821,2.90252,-1.20204,-0.00003
7.6626,57.130,-508.790,403.602,-2.90244,1.20196,0.00007
7.7283,57.132,-508.801,402.450,-2.90242,1.20203,0.00002
7.7935,57.108,-508.853,401.583,-2.90250,1.20204,0.00000
7.8584,57.077,-508.830,400.433,2.90240,-1.20213,0.00003
7.9229,57.053,-508.833,399.287,2.90232,-1.20219,0.00000
7.9895,57.071,-508.806,398.073,2.90243,-1.20227,0.00002
8.0533,57.074,-508.838,396.967,2.90230,-1.20225,0.00014
8.1186,57.068,-508.826,395.795,2.90242,-1.20215,0.00007
8.1836,57.039,-508.800,394.558,-2.90240,1.20232,-0.00001
8.2488,57.032,-508.845,393.368,-2.90239,1.20222,0.00006
8.3139,57.055,-508.826,392.167,-2.90233,1.20225,0.00004
