time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.0037,56.905,-509.055,474.994,-2.90245,1.20216,-0.00005
0.0053,56.905,-509.055,474.994,-2.90245,1.20216,-0.00005
0.0066,56.905,-509.055,474.994,-2.90245,1.20216,-0.00005
0.0076,56.905,-509.055,474.994,-2.90245,1.20216,-0.00005
0.0087,56.905,-509.055,474.994,-2.90245,1.20216,-0.00005
0.0096,56.905,-509.055,474.994,-2.90245,1.20216,-0.00005
0.0105,56.905,-509.055,474.994,-2.90245,1.20216,-0.00005
0.0115,56.905,-509.055,474.994,-2.90245,1.20216,-0.00005
0.0126,56.898,-509.045,475.034,2.90239,-1.20224,0.00006
0.0135,56.898,-509.045,475.034,2.90239,-1.20224,0.00006
0.0144,56.898,-509.045,475.034,2.90239,-1.20224,0.00006
0.0154,56.898,-509.045,475.034,2.90239,-1.20224,0.00006
0.0163,56.898,-509.045,475.034,2.90239,-1.20224,0.00006
0.0172,56.898,-509.045,475.034,2.90239,-1.20224,0.00006
0.0181,56.898,-509.045,475.034,2.90239,-1.20224,0.00006
0.0189,56.898,-509.045,475.034,2.90239,-1.20224,0.00006
0.0197,56.898,-509.045,475.034,2.90239,-1.20224,0.00006
0.0208,56.898,-509.045,475.034,2.90239,-1.20224,0.00006
0.0217,56.898,-509.045,475.034,2.90239,-1.20224,0.00006
0.0226,56.898,-509.045,475.034,2.90239,-1.20224,0.00006
0.0234,56.898,-509.045,475.034,2.90239,-1.20224,0.00006
0.0242,56.898,-509.045,475.034,2.90239,-1.20224,0.00006
0.0249,56.898,-509.045,475.034,2.90239,-1.20224,0.00006
0.0257,56.898,-509.045,475.034,2.90239,-1.20224,0.00006
0.0265,56.898,-509.045,475.034,2.90239,-1.20224,0.00006
0.0273,56.898,-509.045,475.034,2.90239,-1.20224,0.00006
0.0280,56.898,-509.045,475.034,2.90239,-1.20224,0.00006
0.0288,56.898,-509.045,475.034,2.90239,-1.20224,0.00006
0.0296,56.898,-509.045,475.034,2.90239,-1.20224,0.00006
0.0304,56.898,-509.045,475.034,2.90239,-1.20224,0.00006
0.0312,56.866,-509.050,475.031,2.90234,-1.20231,-0.00000
0.0432,56.866,-509.050,475.031,2.90234,-1.20231,-0.00000
0.1089,56.898,-509.062,475.009,2.90241,-1.20224,0.00004
0.1747,56.905,-509.056,475.013,2.90241,-1.20226,0.00007
0.2395,56.902,-509.052,475.005,-2.90244,1.20226,-0.00004
0.3038,56.912,-509.073,475.005,2.90242,-1.20223,0.00010
0.3698,56.905,-509.058,475.031,2.90238,-1.20223,0.00009
0.4352,56.874,-509.050,474.999,-2.90243,1.20229,0.00005
