round,mae_mm,bias_mm,rmse_mm
1,1.55,+0.79,1.87
2,1.49,+0.12,1.81
3,1.75,+1.15,2.09
4,1.88,+1.21,2.26
5,1.64,-0.44,2.03
6,1.62,-1.19,2.08
7,1.77,-1.46,2.26
8,1.48,-0.82,1.86
9,1.40,-0.44,1.73
10,1.62,-1.07,2.08
11,1.41,-0.54,1.80
12,1.69,+1.10,2.01
13,2.15,+1.87,2.55
14,2.44,+2.20,2.81
15,2.62,+2.46,2.95
16,2.58,+1.98,3.08
17,1.59,-0.81,2.01
18,1.43,-0.98,1.90
19,1.34,-0.40,1.72
20,1.59,-0.78,2.04
21,1.75,-1.40,2.23
22,1.65,-0.77,2.04
23,1.35,-0.07,1.66
24,1.45,+0.60,1.79
25,1.34,-0.33,1.69
26,1.58,+0.84,1.92
27,2.11,+1.74,2.48
28,1.65,+0.94,2.03
29,1.96,+1.51,2.31
30,2.70,+2.58,3.06
31,3.10,+3.03,3.49
32,3.26,+3.20,3.63
33,3.43,+3.40,3.81
34,2.65,+2.36,3.01
35,2.68,+2.54,3.05
36,2.76,+2.59,3.16
37,2.07,+1.53,2.39
38,2.22,+1.95,2.58
39,2.76,+2.66,3.15
40,2.66,+2.50,3.00
41,2.61,+2.46,2.99
42,2.83,+2.70,3.19
43,2.75,+2.62,3.10
44,2.82,+2.71,3.19
45,2.94,+2.86,3.31
46,2.93,+2.84,3.31
47,2.73,+2.62,3.10
48,2.45,+2.12,2.88
49,1.50,+0.14,1.81
50,1.55,-0.76,1.94
51,1.60,-1.08,2.03
52,1.70,-1.22,2.16
53,1.63,-1.20,2.07
54,1.50,-0.95,1.91
55,1.55,-1.05,1.97
56,1.47,-0.99,1.91
57,1.53,-0.77,1.93
58,1.69,-1.27,2.14
59,1.67,-1.26,2.12
60,1.77,-1.46,2.20
61,1.67,-1.28,2.10
62,1.69,-1.31,2.16
63,1.65,-1.13,2.06
64,1.70,-1.35,2.18
65,1.70,-1.17,2.14
66,1.74,-1.38,2.17
67,1.79,-1.51,2.23
68,1.67,-1.15,2.13
69,1.73,-1.32,2.18
70,1.47,-0.91,1.90
71,1.59,-1.04,2.01
72,1.63,-1.23,2.06
73,1.62,-1.19,2.07
74,1.41,-0.79,1.78
75,1.58,-1.15,2.01
76,1.35,-0.32,1.68
77,1.38,-0.25,1.69
78,1.48,-0.69,1.84
79,1.70,-1.26,2.15
80,1.64,-1.29,2.09
81,1.62,-1.20,2.08
82,1.76,-1.43,2.22
83,1.65,-1.22,2.08
84,1.60,-1.24,2.05
85,1.62,-1.18,2.05
86,1.73,-1.36,2.20
87,1.70,-1.36,2.15
88,1.78,-1.49,2.22
89,1.43,-0.94,1.91
90,1.57,-0.57,1.97
91,1.69,-1.33,2.13
92,1.46,-0.72,1.80
93,1.45,-0.48,1.81
94,1.61,-1.13,2.09
95,1.75,-1.26,2.21
96,1.53,-1.06,1.92
97,1.90,-1.58,2.40
98,1.58,-1.22,2.02
99,1.70,-1.29,2.18
100,1.44,-0.64,1.81
