time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.0015,57.046,-508.900,475.028,2.90240,-1.20226,0.00006
0.0025,57.046,-508.900,475.028,2.90240,-1.20226,0.00006
0.0034,57.046,-508.900,475.028,2.90240,-1.20226,0.00006
0.0050,57.046,-508.900,475.028,2.90240,-1.20226,0.00006
0.0058,57.046,-508.900,475.028,2.90240,-1.20226,0.00006
0.0068,57.046,-508.900,475.028,2.90240,-1.20226,0.00006
0.0082,57.046,-508.900,475.028,2.90240,-1.20226,0.00006
0.0097,57.046,-508.900,475.028,2.90240,-1.20226,0.00006
0.0113,57.046,-508.900,475.028,2.90240,-1.20226,0.00006
0.0124,57.046,-508.900,475.028,2.90240,-1.20226,0.00006
0.0136,57.046,-508.900,475.028,2.90240,-1.20226,0.00006
0.0148,57.046,-508.900,475.028,2.90240,-1.20226,0.00006
0.0179,57.064,-508.900,475.016,2.90245,-1.20218,0.00005
0.0192,57.064,-508.900,475.016,2.90245,-1.20218,0.00005
0.0203,57.064,-508.900,475.016,2.90245,-1.20218,0.00005
0.0214,57.064,-508.900,475.016,2.90245,-1.20218,0.00005
0.0225,57.064,-508.900,475.016,2.90245,-1.20218,0.00005
0.0246,57.064,-508.900,475.016,2.90245,-1.20218,0.00005
0.0257,57.064,-508.900,475.016,2.90245,-1.20218,0.00005
0.0266,57.064,-508.900,475.016,2.90245,-1.20218,0.00005
0.0275,57.064,-508.900,475.016,2.90245,-1.20218,0.00005
0.0284,57.064,-508.900,475.016,2.90245,-1.20218,0.00005
0.0292,57.064,-508.900,475.016,2.90245,-1.20218,0.00005
0.0301,57.064,-508.900,475.016,2.90245,-1.20218,0.00005
0.0310,57.064,-508.900,475.016,2.90245,-1.20218,0.00005
0.0319,57.054,-508.901,475.029,2.90240,-1.20220,0.00005
0.0326,57.054,-508.901,475.029,2.90240,-1.20220,0.00005
0.0334,57.054,-508.901,475.029,2.90240,-1.20220,0.00005
0.0340,57.054,-508.901,475.029,2.90240,-1.20220,0.00005
0.0348,57.054,-508.901,475.029,2.90240,-1.20220,0.00005
0.0896,57.038,-508.904,475.002,2.90243,-1.20225,0.00001
0.1549,57.052,-508.893,475.021,2.90243,-1.20223,0.00002
0.2198,57.044,-508.901,475.034,2.90239,-1.20218,-0.00000
0.2860,57.053,-508.911,475.025,2.90237,-1.20225,0.00005
0.3524,57.053,-508.905,475.012,2.90245,-1.20216,-0.00000
0.4177,57.031,-508.915,475.015,2.90238,-1.20227,0.00006
0.4803,57.029,-508.929,474.999,2.90239,-1.20230,0.00006
0.5462,57.038,-508.920,475.009,2.90241,-1.20220,0.00001
0.6110,57.031,-508.914,475.001,2.90242,-1.20229,0.00001
0.6763,57.016,-508.915,475.005,2.90240,-1.20234,0.00003
0.7414,57.065,-508.912,475.011,2.90244,-1.20223,0.00007
0.8062,57.047,-508.889,475.029,2.90244,-1.20222,0.00002
