timestamp,zone_00,zone_01,zone_02,zone_03,zone_04,zone_05,zone_06,zone_07,zone_08,zone_09,zone_10,zone_11,zone_12,zone_13,zone_14,zone_15,zone_16,zone_17,zone_18,zone_19,zone_20,zone_21,zone_22,zone_23,zone_24,zone_25,zone_26,zone_27,zone_28,zone_29,zone_30,zone_31,zone_32,zone_33,zone_34,zone_35,zone_36,zone_37,zone_38,zone_39,zone_40,zone_41,zone_42,zone_43,zone_44,zone_45,zone_46,zone_47,zone_48,zone_49,zone_50,zone_51,zone_52,zone_53,zone_54,zone_55,zone_56,zone_57,zone_58,zone_59,zone_60,zone_61,zone_62,zone_63
2026-06-11T11:34:05.939,168,165,166,166,165,166,167,167,166,165,167,168,167,167,166,168,165,165,166,166,165,166,167,166,165,167,164,168,166,168,166,167,165,166,165,167,168,164,168,166,164,166,167,163,166,166,167,168,164,165,166,168,166,167,166,165,163,164,164,166,166,167,167,165
2026-06-11T11:34:06.017,168,166,164,167,166,167,166,168,165,165,166,168,167,168,167,168,165,167,168,167,167,166,167,167,166,167,164,169,167,168,168,167,164,166,163,167,168,166,166,166,163,166,168,166,165,165,166,166,165,165,166,169,167,168,167,166,163,164,164,166,167,165,165,167
2026-06-11T11:34:06.218,167,165,165,166,168,167,167,168,164,165,168,167,166,171,166,167,166,165,168,167,167,167,166,166,164,168,166,169,167,168,167,167,166,167,166,167,169,166,164,167,164,168,167,163,167,167,166,166,165,166,166,168,168,166,167,168,163,163,165,165,167,168,167,167
2026-06-11T11:34:06.237,167,166,165,167,167,167,168,168,165,164,168,166,167,168,166,166,165,165,168,166,165,166,168,166,166,167,163,169,166,168,165,166,163,165,166,168,167,167,166,168,163,167,168,165,165,166,166,168,164,165,164,166,169,166,167,166,163,164,164,166,167,166,166,167
2026-06-11T11:34:06.345,167,164,163,169,168,166,167,167,165,166,167,168,167,167,167,168,165,165,167,167,167,165,166,168,166,168,165,167,166,168,166,167,164,164,165,168,169,167,166,166,165,168,166,165,168,165,167,167,165,165,166,168,167,165,167,168,164,166,161,166,165,167,167,166
2026-06-11T11:34:06.488,166,167,165,167,168,167,167,169,166,165,168,167,167,168,167,167,165,165,168,167,166,166,166,167,166,166,165,166,164,166,164,166,163,167,166,167,166,166,166,166,165,167,166,163,166,167,166,166,163,164,166,168,168,168,166,166,163,163,165,165,166,165,167,166
2026-06-11T11:34:06.509,167,165,166,167,166,168,166,168,166,165,165,166,166,167,166,167,167,167,168,166,167,166,166,167,167,166,165,168,165,169,163,165,166,166,166,167,166,167,167,166,165,165,168,165,167,167,164,166,165,165,166,169,168,167,167,167,163,165,165,165,167,167,168,166
2026-06-11T11:34:06.625,166,165,165,168,166,165,167,168,166,164,167,167,166,168,166,168,165,166,168,167,165,166,168,167,165,167,164,167,166,168,165,166,165,167,164,168,167,166,167,166,163,165,167,166,167,167,166,166,164,165,165,168,166,167,167,167,163,165,166,167,166,167,167,167
2026-06-11T11:34:06.759,167,164,165,167,166,167,167,168,163,164,168,168,167,169,166,168,167,165,167,168,165,167,167,168,165,168,166,166,167,170,164,166,165,167,164,166,168,166,167,167,165,165,168,165,166,167,166,168,164,163,165,170,168,166,167,166,163,164,163,166,168,166,166,165
2026-06-11T11:34:06.897,166,164,165,168,167,168,166,168,165,166,166,167,166,168,165,166,165,165,168,167,167,166,166,167,166,167,167,169,166,168,166,167,165,166,164,167,167,165,165,166,163,165,167,165,166,166,165,167,163,165,166,168,167,168,167,166,163,165,164,166,167,167,166,167
