time_stamp,data
15:58:54.882796,"[[20 23 25 24 24 27 25 23], [23 22 25 24 26 28 24 28], [19 25 23 25 26 28 28 27], [22 21 27 26 27 24 26 28], [19 21 24 30 29 28 29 27], [23 26 26 27 28 27 30 29], [23 21 27 27 27 29 28 28], [20 25 29 28 27 26 26 27]]"
15:58:55.144672,"[[19 22 26 24 26 26 25 24], [22 23 25 24 25 28 24 26], [20 26 21 23 26 29 26 27], [23 22 26 27 26 26 26 26], [20 22 24 30 27 26 29 27], [24 24 25 27 30 28 29 27], [22 22 25 27 28 29 29 29], [22 28 29 29 27 28 29 26]]"
15:58:55.451675,"[[22 23 27 25 26 29 24 22], [23 25 26 24 27 30 26 28], [20 27 22 25 27 30 29 26], [22 22 25 28 28 25 26 27], [21 21 23 30 30 27 29 27], [23 25 24 30 30 26 31 28], [22 21 26 29 28 30 29 31], [21 26 31 30 27 29 29 28]]"
15:58:55.758527,"[[22 23 27 24 26 28 26 26], [24 24 25 28 29 29 28 28], [21 27 23 26 28 31 29 29], [22 23 25 28 28 25 29 31], [21 22 24 31 31 30 30 31], [23 26 27 31 30 30 33 30], [23 24 27 29 30 32 31 31], [23 29 30 33 29 31 30 30]]"
15:58:56.012675,"[[23 22 26 25 27 27 26 25], [23 26 27 25 30 30 26 28], [20 26 26 25 28 32 30 30], [23 22 28 27 28 27 29 29], [21 24 25 32 29 28 30 28], [23 25 25 30 30 31 31 32], [25 26 28 28 30 31 31 30], [24 29 31 32 29 30 32 28]]"
15:58:56.318989,"[[20 22 29 25 26 27 24 24], [23 23 26 26 25 26 27 28], [21 27 25 24 27 30 29 27], [21 21 27 28 26 30 29 29], [21 23 25 30 29 27 30 28], [24 25 25 29 30 28 31 28], [22 22 26 28 29 31 30 30], [24 27 30 32 26 30 29 31]]"
15:58:56.573937,"[[19 20 25 23 24 24 22 21], [22 22 24 23 22 26 22 25], [20 24 22 21 24 26 24 25], [21 21 24 25 23 24 24 26], [20 20 24 26 26 23 28 24], [23 22 23 25 27 24 28 25], [21 20 25 24 25 27 26 25], [22 24 27 25 26 27 25 23]]"
15:58:56.880701,"[[21 22 26 25 26 28 24 23], [22 23 24 23 26 27 26 28], [21 25 22 25 25 28 24 26], [22 23 25 26 25 26 26 28], [19 22 24 28 28 25 29 26], [21 22 24 28 27 26 28 27], [23 20 24 25 26 29 27 28], [20 26 27 29 26 26 27 26]]"
15:58:57.187565,"[[23 25 28 27 29 29 27 28], [25 25 28 28 28 30 27 28], [22 28 26 29 30 31 30 29], [25 25 29 29 31 27 28 28], [23 26 26 32 31 30 32 28], [26 28 29 30 31 29 30 27], [25 25 28 30 29 33 32 29], [25 29 32 31 30 30 32 29]]"
15:58:57.443447,"[[23 24 28 26 28 30 28 27], [26 25 27 27 27 30 26 30], [22 27 23 24 28 31 27 28], [23 23 26 27 29 27 29 31], [21 23 25 30 30 29 30 30], [25 25 27 30 30 29 32 29], [25 24 28 27 29 32 31 30], [25 28 31 32 29 30 31 30]]"
15:58:57.749567,"[[20 22 26 24 25 27 25 23], [22 22 23 22 26 28 24 28], [18 21 20 22 25 28 26 28], [19 18 23 23 25 24 27 28], [18 19 22 29 27 25 28 25], [23 23 24 27 28 25 29 29], [22 22 25 27 26 29 28 28], [23 26 29 30 26 28 28 29]]"
15:58:58.055383,"[[19 19 23 21 22 26 23 23], [19 18 20 21 23 25 23 26], [15 19 18 21 24 26 26 25], [16 16 21 21 23 23 26 27], [15 17 18 25 25 25 26 25], [19 20 22 24 25 25 27 26], [19 19 23 24 25 27 27 26], [21 24 27 28 25 26 27 28]]"
15:58:58.310583,"[[16 18 23 21 22 25 23 23], [17 17 21 20 22 25 22 26], [14 18 18 19 23 25 24 25], [16 15 20 20 23 23 24 26], [14 16 19 24 24 24 26 24], [18 19 19 24 25 24 26 24], [18 18 21 23 24 27 26 27], [20 24 27 26 25 26 27 25]]"
15:58:58.617969,"[[17 17 23 22 22 25 24 21], [18 18 21 21 22 25 23 27], [14 19 18 20 22 25 27 25], [16 15 20 22 23 22 24 25], [15 16 18 26 25 25 25 24], [19 19 22 24 25 23 27 26], [19 19 22 23 25 28 26 26], [20 24 28 27 24 26 26 25]]"
15:58:58.922754,"[[15 16 21 18 21 23 22 21], [16 15 18 17 20 23 20 24], [12 16 15 18 21 24 23 23], [13 13 18 19 21 20 22 24], [12 14 16 23 23 22 24 23], [16 17 19 22 24 23 25 25], [17 16 19 22 22 26 26 24], [18 22 25 25 23 24 25 25]]"
15:58:59.177633,"[[14 16 20 19 20 22 21 19], [15 15 18 17 21 23 20 23], [11 17 15 17 21 23 22 23], [12 13 17 18 20 21 23 23], [12 14 16 23 22 22 24 22], [16 17 18 22 24 22 25 24], [16 16 19 20 22 24 24 25], [17 22 24 24 22 25 25 25]]"
15:58:59.484755,"[[23 25 29 27 29 31 30 28], [26 26 28 29 29 32 28 29], [23 28 26 27 29 33 31 30], [25 24 28 29 30 29 30 31], [23 24 26 33 31 28 31 30], [26 27 29 32 32 31 33 31], [25 26 28 30 31 33 32 30], [25 31 33 33 30 31 31 32]]"
15:58:59.791953,"[[25 25 30 27 25 29 28 25], [26 24 28 27 27 31 26 30], [22 29 26 29 28 30 30 29], [26 25 28 29 29 28 29 28], [23 25 27 31 30 27 29 27], [26 27 28 30 29 29 29 28], [25 25 28 29 30 32 29 27], [23 27 30 32 27 28 28 27]]"
15:59:00.048588,"[[24 25 28 26 28 28 27 25], [27 26 29 27 29 30 26 28], [23 29 26 28 29 33 30 27], [25 26 29 28 29 28 29 28], [25 25 27 31 31 28 31 27], [26 27 28 30 30 27 29 28], [25 25 27 28 28 31 30 27], [23 28 30 31 26 29 28 26]]"
15:59:00.354435,"[[25 27 30 28 30 31 29 25], [27 28 28 29 30 33 28 32], [24 28 25 27 29 33 30 30], [26 27 29 30 31 27 31 30], [23 26 27 33 32 29 32 31], [26 28 29 32 31 31 31 31], [25 25 28 31 29 30 31 29], [26 27 32 32 29 29 30 30]]"
