timestamp,zone_00,zone_01,zone_02,zone_03,zone_04,zone_05,zone_06,zone_07,zone_08,zone_09,zone_10,zone_11,zone_12,zone_13,zone_14,zone_15,zone_16,zone_17,zone_18,zone_19,zone_20,zone_21,zone_22,zone_23,zone_24,zone_25,zone_26,zone_27,zone_28,zone_29,zone_30,zone_31,zone_32,zone_33,zone_34,zone_35,zone_36,zone_37,zone_38,zone_39,zone_40,zone_41,zone_42,zone_43,zone_44,zone_45,zone_46,zone_47,zone_48,zone_49,zone_50,zone_51,zone_52,zone_53,zone_54,zone_55,zone_56,zone_57,zone_58,zone_59,zone_60,zone_61,zone_62,zone_63
2026-05-29T14:43:43.814,38,39,44,46,49,47,48,47,44,48,56,58,56,59,55,57,0,53,54,57,56,57,59,58,0,56,55,56,59,61,58,61,886,56,54,57,60,58,59,58,901,57,57,58,60,62,58,60,916,55,55,60,60,59,58,59,0,54,52,57,59,59,59,58
2026-05-29T14:43:43.815,37,40,45,47,48,47,48,46,45,49,58,55,56,59,57,58,0,55,56,59,57,57,58,59,0,57,53,58,58,61,55,60,0,55,50,55,61,58,59,59,899,57,59,60,61,64,55,60,895,57,54,58,60,61,59,59,0,53,50,60,57,59,59,56
2026-05-29T14:43:43.880,38,39,44,44,48,45,46,48,46,51,55,56,57,59,58,57,0,54,55,58,57,56,57,58,948,56,53,55,60,59,57,58,854,57,52,55,60,56,60,58,911,56,58,59,60,64,58,60,894,55,57,58,61,61,60,59,0,55,50,59,59,58,57,58
2026-05-29T14:43:43.979,36,41,45,45,50,46,49,47,47,50,55,58,56,59,55,57,0,57,55,58,56,53,59,60,898,56,54,56,59,60,57,58,877,57,52,56,60,56,61,59,903,56,55,59,55,63,59,60,890,56,56,60,61,61,59,58,0,53,53,59,56,58,59,57
2026-05-29T14:43:44.077,36,39,45,46,47,44,48,47,45,49,55,56,55,59,58,56,0,54,56,57,57,57,57,58,522,55,53,57,57,59,56,59,878,55,53,55,61,55,59,58,907,56,58,59,57,61,59,60,905,55,56,59,62,62,59,58,0,54,53,57,60,61,56,57
2026-05-29T14:43:44.176,36,41,45,45,50,46,47,46,45,52,55,57,56,60,56,58,0,56,57,59,57,58,58,60,636,55,52,57,58,61,56,60,0,55,52,57,60,57,59,59,928,57,58,59,58,61,59,60,918,54,57,61,62,60,59,56,0,53,51,61,57,58,57,57
2026-05-29T14:43:44.293,36,39,45,46,50,44,47,46,47,50,55,58,57,58,55,58,0,53,56,58,57,54,56,58,0,57,55,59,58,61,56,61,891,55,51,57,60,57,60,58,893,55,60,60,58,64,59,59,905,54,57,60,61,60,59,58,0,54,50,59,58,58,57,57
2026-05-29T14:43:44.382,37,39,45,46,47,45,47,47,45,49,56,56,57,60,57,58,0,56,56,60,58,57,59,57,0,56,54,57,59,62,55,59,892,56,53,57,59,59,59,60,929,57,60,60,59,62,58,59,906,56,54,61,61,61,60,59,0,53,51,59,58,58,58,57
2026-05-29T14:43:44.495,36,41,45,45,48,47,48,48,44,49,57,58,57,58,56,57,0,56,57,59,57,54,58,58,0,57,53,60,61,60,56,58,884,55,52,57,59,57,58,58,899,56,61,59,59,62,58,60,910,55,56,59,61,59,61,59,0,55,53,58,58,59,57,57
2026-05-29T14:43:44.570,36,38,44,46,47,47,48,48,45,51,55,56,55,59,55,58,0,55,54,58,57,57,58,60,853,55,55,58,58,61,56,61,864,56,52,58,59,56,59,58,883,56,59,58,59,62,60,60,926,54,58,59,61,58,60,61,0,53,50,59,59,60,59,57
2026-05-29T14:43:44.670,37,39,45,46,49,47,47,46,44,51,56,57,56,59,55,56,0,53,56,58,56,56,59,57,0,57,53,55,59,59,56,60,879,54,51,57,60,57,60,60,889,55,59,59,58,63,60,59,915,56,57,60,62,60,58,59,0,53,50,59,56,56,58,56
2026-05-29T14:43:44.773,36,39,45,48,48,47,47,49,45,49,55,59,56,59,57,57,0,58,57,57,58,57,59,58,0,56,55,55,59,61,56,59,0,55,52,56,63,58,59,59,898,56,59,58,59,62,59,60,902,56,55,60,62,61,61,57,0,55,51,59,60,60,57,57
2026-05-29T14:43:44.864,38,40,45,47,49,47,48,46,45,51,54,57,57,58,56,56,0,54,53,57,58,57,59,59,921,57,53,54,59,61,56,59,876,56,52,55,60,56,59,59,933,56,59,59,58,61,58,59,918,56,56,57,61,61,58,58,0,53,50,58,58,58,58,57
2026-05-29T14:43:44.962,37,40,44,46,50,46,47,49,46,49,58,58,59,59,57,58,0,55,55,58,56,56,57,57,0,56,55,58,57,63,56,60,0,55,55,58,61,58,58,59,893,56,58,59,59,62,58,59,922,56,55,61,62,62,57,59,0,54,50,60,59,59,59,58
2026-05-29T14:43:45.061,38,40,47,46,47,47,47,46,44,51,56,57,56,59,58,59,0,55,56,58,57,55,57,59,763,56,53,58,59,59,56,62,919,56,53,57,61,56,59,60,907,59,57,59,58,62,58,59,914,56,54,58,63,61,59,58,0,54,51,58,57,58,58,57
2026-05-29T14:43:45.172,37,39,44,46,48,48,48,48,45,50,54,58,57,61,57,57,0,57,55,58,57,57,57,59,0,57,55,59,58,61,55,61,0,56,53,56,61,59,60,60,906,58,56,59,58,63,59,59,915,55,57,60,61,61,59,58,0,53,49,58,58,58,59,58
2026-05-29T14:43:45.258,36,38,44,45,48,47,47,47,45,51,55,57,56,59,56,57,0,56,58,59,58,57,57,59,0,57,56,58,57,61,57,59,898,56,52,57,61,57,60,59,902,55,58,60,59,63,59,60,929,57,56,57,61,61,61,58,0,52,51,58,59,59,58,55
2026-05-29T14:43:45.356,38,38,45,45,49,44,48,47,46,50,54,58,56,60,59,58,0,58,57,59,56,58,58,60,930,55,52,54,59,60,54,62,0,56,55,56,61,58,59,59,892,57,61,60,57,60,57,61,934,55,55,57,61,59,60,59,0,53,51,59,57,58,59,59
2026-05-29T14:43:45.454,36,41,47,47,47,46,47,47,47,49,56,60,55,58,57,57,0,55,57,59,56,56,57,58,890,57,54,60,58,59,56,61,928,55,51,56,58,56,60,60,921,56,57,58,58,62,59,61,903,56,56,58,61,59,57,57,0,55,50,59,59,59,57,59
2026-05-29T14:43:45.571,36,41,45,44,50,47,47,46,45,50,56,58,56,60,56,59,0,55,55,58,57,55,57,60,0,56,55,56,59,60,57,60,891,56,52,57,61,56,60,59,893,55,60,59,58,63,59,59,921,57,59,61,61,63,59,58,0,54,49,60,59,59,57,59
2026-05-29T14:43:45.655,37,39,46,47,49,46,48,46,44,51,55,57,57,58,57,57,0,55,57,58,57,56,57,57,809,56,51,56,60,59,55,60,909,56,53,56,61,56,59,60,908,57,57,59,57,62,58,59,914,55,55,60,61,59,58,57,0,53,52,59,59,58,57,58
2026-05-29T14:43:45.749,37,39,44,45,49,47,48,46,47,49,59,56,55,62,56,56,0,56,56,59,57,57,58,58,0,57,55,56,57,61,56,62,964,58,55,56,59,58,59,58,868,56,56,60,59,63,58,60,899,56,55,59,61,59,58,58,0,53,50,58,60,58,57,58
2026-05-29T14:43:45.847,37,37,46,45,49,45,47,47,44,52,56,58,56,59,57,57,0,54,55,57,55,55,59,61,0,56,53,58,59,60,57,60,923,55,52,59,63,58,60,58,915,55,57,59,58,62,58,60,894,57,55,60,60,58,58,60,0,55,49,58,58,60,58,59
2026-05-29T14:43:45.951,37,38,46,47,47,45,47,47,47,51,55,57,58,59,58,57,0,56,53,55,57,58,57,57,783,57,54,58,59,62,57,61,733,55,53,57,61,57,59,60,890,57,57,60,59,63,59,60,930,56,56,59,61,62,58,57,0,53,50,61,60,59,60,56
2026-05-29T14:43:46.055,36,39,44,46,49,47,46,47,46,50,55,56,56,59,57,57,0,55,56,57,57,56,59,59,1037,56,56,56,57,62,56,59,927,54,51,57,61,58,59,59,931,56,57,59,57,62,59,59,916,55,56,56,61,60,59,56,0,54,51,59,60,57,58,56
2026-05-29T14:43:46.143,38,40,46,46,49,46,47,48,46,50,56,57,55,59,57,59,0,55,55,58,55,56,57,60,0,58,52,58,60,60,55,60,867,58,52,56,61,57,60,59,880,56,58,60,59,63,61,58,869,55,53,57,61,60,60,58,0,52,50,59,58,60,60,57
2026-05-29T14:43:46.241,38,39,45,46,48,46,48,48,46,52,56,56,56,59,58,57,0,55,57,59,58,55,57,61,0,56,54,56,58,61,58,60,0,55,53,56,60,57,60,59,903,57,57,60,60,62,58,60,903,56,57,57,60,60,59,58,0,53,50,59,58,58,56,56
2026-05-29T14:43:46.339,38,40,44,46,49,44,47,46,45,48,57,59,57,58,57,57,0,55,55,58,55,56,57,58,0,57,54,57,58,60,57,58,0,54,51,56,61,58,59,60,880,56,59,61,60,62,60,59,909,55,58,59,61,59,59,58,0,55,50,58,59,57,60,58
2026-05-29T14:43:46.448,37,41,44,46,49,46,48,47,45,50,55,56,56,57,56,59,0,55,54,57,57,56,59,58,0,56,54,58,59,61,56,59,885,56,51,57,62,57,58,59,890,57,59,61,59,62,59,60,934,55,54,58,62,60,59,58,0,53,51,58,58,60,56,58
2026-05-29T14:43:46.536,36,39,46,47,47,45,47,46,46,52,56,58,56,58,56,58,0,54,55,58,57,58,59,59,0,56,54,56,60,60,56,60,855,56,51,55,59,58,60,60,911,58,57,59,58,61,57,59,907,55,58,60,60,61,58,60,0,54,50,59,57,59,55,58
2026-05-29T14:43:46.634,36,39,45,47,49,47,48,48,45,50,55,58,57,61,56,59,0,55,56,57,58,56,56,58,0,57,57,56,59,62,56,60,957,55,51,58,61,58,60,58,897,57,57,59,58,61,60,59,919,56,58,60,62,60,59,59,0,53,50,59,59,59,57,57
2026-05-29T14:43:46.733,38,40,46,45,51,46,47,47,47,50,57,57,57,59,57,57,0,57,57,58,56,56,58,59,0,55,56,57,58,61,57,59,0,56,52,55,60,57,59,59,893,57,59,58,60,63,61,59,939,55,56,60,62,60,59,59,0,54,51,61,60,61,59,60
2026-05-29T14:43:46.848,37,40,44,46,47,46,47,46,45,50,56,58,56,58,57,57,0,54,58,58,56,55,57,60,0,57,54,57,58,61,54,59,831,56,52,57,62,58,60,58,916,55,61,59,58,62,58,61,892,57,57,59,60,61,58,58,0,54,49,58,57,61,59,56
2026-05-29T14:43:46.936,37,39,45,47,49,46,47,47,46,50,55,58,54,59,57,58,0,55,57,57,55,56,59,58,0,55,52,57,60,62,56,58,0,56,54,57,59,56,59,59,908,57,59,60,58,62,58,60,895,56,56,59,60,60,60,59,0,55,50,60,59,58,58,56
2026-05-29T14:43:47.028,37,40,46,45,50,46,48,46,44,49,56,59,57,59,56,58,0,56,56,56,56,56,58,59,889,57,54,59,58,61,57,60,899,57,51,57,60,56,58,58,896,56,59,59,59,63,59,59,894,56,58,59,61,61,59,56,0,56,51,57,59,57,58,56
2026-05-29T14:43:47.126,36,41,44,45,47,47,47,46,47,51,55,57,55,59,55,57,0,55,57,58,58,54,58,59,736,58,56,57,59,63,57,59,855,56,53,57,58,57,60,59,890,56,60,59,57,62,59,58,921,57,54,59,59,60,61,58,0,54,50,60,59,60,56,57
2026-05-29T14:43:47.229,37,38,44,46,48,45,47,46,47,52,56,58,56,59,57,58,0,54,57,58,55,58,58,58,0,56,53,57,59,61,56,60,900,56,52,58,60,56,59,58,886,57,58,59,58,64,58,58,934,57,56,57,60,61,57,59,0,53,51,59,59,57,57,58
