frame_index,reference_timestamp,elapsed_s,tcp_z_m,sensor_z_m,real_valid_zones,sim_valid_zones,real_mean_distance_mm,sim_mean_distance_mm,paired_valid_zones,mae_mm,bias_mm,no_return_iou
0,2026-06-28T15:40:39.440,0.0,0.4869967685365127,0.39693980673391943,64,64,396.328125,422.21875,64,31.640625,25.890625,1.0
1,2026-06-28T15:40:39.536,0.09600067138671875,0.4836340550256925,0.39357709322309925,64,63,394.84375,419.93650793650795,63,29.49206349206349,24.952380952380953,0.0
2,2026-06-28T15:40:39.632,0.1920013427734375,0.47552151651119734,0.3854645547086041,64,62,384.984375,410.3709677419355,62,30.64516129032258,25.483870967741936,0.0
3,2026-06-28T15:40:39.728,0.287994384765625,0.4648930836969761,0.3748361218943828,64,64,374.96875,398.84375,64,30.53125,23.875,1.0
4,2026-06-28T15:40:39.823,0.38299560546875,0.45872136600071334,0.3686644041981201,63,64,368.25396825396825,392.796875,63,29.126984126984127,25.063492063492063,0.0
5,2026-06-28T15:40:39.919,0.47899627685546875,0.4570116910651589,0.3669547292625656,64,64,367.3125,391.546875,64,29.546875,24.234375,1.0
6,2026-06-28T15:40:40.017,0.576995849609375,0.4570526002775591,0.36699563847496586,64,64,367.390625,391.28125,64,29.234375,23.890625,1.0
7,2026-06-28T15:40:40.115,0.6749954223632812,0.4570816264018839,0.3670246645992906,63,63,366.3015873015873,393.14285714285717,62,30.516129032258064,27.451612903225808,0.0
8,2026-06-28T15:40:40.223,0.7829971313476562,0.4570445113139848,0.36698754951139156,64,64,366.828125,389.9375,64,28.078125,23.109375,1.0
9,2026-06-28T15:40:40.313,0.8730010986328125,0.4570536621852785,0.3669967003826852,62,64,366.35483870967744,389.734375,62,28.0,24.612903225806452,0.0
10,2026-06-28T15:40:40.410,0.970001220703125,0.45706054744844254,0.3670035856458493,64,64,366.859375,391.15625,64,28.515625,24.296875,1.0
11,2026-06-28T15:40:40.509,1.069000244140625,0.45706244747117486,0.3670054856685816,63,64,367.031746031746,391.359375,63,28.238095238095237,24.873015873015873,0.0
12,2026-06-28T15:40:40.644,1.2039947509765625,0.45703727139061395,0.3669803095880207,64,63,366.9375,391.85714285714283,63,28.015873015873016,24.873015873015873,0.0
13,2026-06-28T15:40:40.733,1.292999267578125,0.45705479124245446,0.3669978294398612,62,62,366.8709677419355,392.241935483871,60,29.966666666666665,26.5,0.0
14,2026-06-28T15:40:40.858,1.417999267578125,0.4570422460474209,0.3669852842448276,64,62,366.765625,391.85483870967744,62,27.661290322580644,25.370967741935484,0.0
15,2026-06-28T15:40:40.937,1.4969940185546875,0.4570350253020491,0.36697806349945583,64,62,367.296875,393.16129032258067,62,28.612903225806452,25.838709677419356,0.0
16,2026-06-28T15:40:41.033,1.5929946899414062,0.457050209368039,0.3669932475654457,62,64,366.7096774193548,391.328125,62,30.20967741935484,25.951612903225808,0.0
17,2026-06-28T15:40:41.129,1.688995361328125,0.45708006852826055,0.3670231067256673,63,63,366.6507936507937,392.4920634920635,62,29.64516129032258,26.516129032258064,0.0
18,2026-06-28T15:40:41.219,1.7789993286132812,0.4570712802460826,0.36701431844348936,64,62,367.359375,394.11290322580646,62,30.387096774193548,27.032258064516128,0.0
19,2026-06-28T15:40:41.314,1.8740005493164062,0.4570582885035451,0.3670013267009518,63,63,366.1587301587302,391.63492063492066,62,29.14516129032258,26.080645161290324,0.0
20,2026-06-28T15:40:41.410,1.970001220703125,0.45704753965703787,0.3669905778544446,64,63,367.28125,393.2063492063492,63,28.952380952380953,25.904761904761905,0.0
21,2026-06-28T15:40:41.502,2.0619964599609375,0.4559418191556952,0.36588485735310194,63,63,366.8253968253968,390.53968253968253,62,27.93548387096774,24.451612903225808,0.0
22,2026-06-28T15:40:41.593,2.1529998779296875,0.45077441436044424,0.360717452557851,61,63,360.0,383.93650793650795,60,28.816666666666666,25.45,0.0
23,2026-06-28T15:40:41.697,2.2569961547851562,0.4398045279156977,0.3497475661131044,62,63,350.2903225806452,383.93650793650795,61,36.885245901639344,34.85245901639344,0.0
24,2026-06-28T15:40:41.788,2.3479995727539062,0.43128509771944534,0.3412281359168521,62,64,341.0806451612903,361.28125,62,28.048387096774192,20.887096774193548,0.0
25,2026-06-28T15:40:41.886,2.4459991455078125,0.4270678278504169,0.33701086604782365,62,64,337.241935483871,356.5,62,27.887096774193548,19.822580645161292,0.0
26,2026-06-28T15:40:41.985,2.5449981689453125,0.42695183757286026,0.336894875770267,64,64,337.3125,357.171875,64,27.265625,19.859375,1.0
27,2026-06-28T15:40:42.083,2.6429977416992188,0.42696479386098174,0.3369078320583885,64,64,337.484375,356.828125,64,27.96875,19.34375,1.0
28,2026-06-28T15:40:42.181,2.740997314453125,0.4270263583282966,0.33696939652570335,63,64,337.3333333333333,357.28125,63,28.476190476190474,20.41269841269841,0.0
29,2026-06-28T15:40:42.280,2.839996337890625,0.427019830998934,0.3369628691963407,61,64,337.75409836065575,356.546875,61,26.229508196721312,20.131147540983605,0.0
30,2026-06-28T15:40:42.378,2.9379959106445312,0.4270432019629668,0.33698624016037354,62,64,337.46774193548384,356.8125,62,28.903225806451612,20.322580645161292,0.0
31,2026-06-28T15:40:42.476,3.0359954833984375,0.42703382692605174,0.3369768651234585,62,64,336.8709677419355,357.921875,62,28.983870967741936,21.919354838709676,0.0
32,2026-06-28T15:40:42.605,3.1650009155273438,0.4270508605130769,0.33699389871048363,63,64,337.1904761904762,355.53125,63,27.793650793650794,18.841269841269842,0.0
33,2026-06-28T15:40:42.708,3.2679977416992188,0.42706671697502174,0.3370097551724285,62,64,337.6290322580645,357.109375,62,28.032258064516128,20.451612903225808,0.0
34,2026-06-28T15:40:42.798,3.3579940795898438,0.42701516371492787,0.3369582019123346,62,64,336.6774193548387,356.0625,62,27.20967741935484,20.20967741935484,0.0
35,2026-06-28T15:40:42.919,3.4789962768554688,0.42699382188904494,0.3369368600864517,62,63,337.0806451612903,358.5079365079365,62,28.080645161290324,21.822580645161292,0.5
36,2026-06-28T15:40:43.010,3.5699996948242188,0.42703863458394137,0.3369816727813481,62,64,337.35483870967744,356.46875,62,27.0,19.93548387096774,0.0
37,2026-06-28T15:40:43.096,3.6559982299804688,0.4270209607961699,0.33696399899357665,61,64,337.1475409836066,356.609375,61,27.34426229508197,20.78688524590164,0.0
38,2026-06-28T15:40:43.196,3.7559967041015625,0.4270355456083651,0.33697858380577184,61,64,337.5081967213115,357.171875,61,28.049180327868854,21.131147540983605,0.0
39,2026-06-28T15:40:43.285,3.845001220703125,0.4270320541429712,0.3369750923403779,63,64,337.85714285714283,356.453125,63,27.317460317460316,18.936507936507937,0.0
40,2026-06-28T15:40:43.378,3.9379959106445312,0.42704746724967246,0.3369905054470792,62,64,336.66129032258067,356.046875,62,27.403225806451612,20.338709677419356,0.0
41,2026-06-28T15:40:43.470,4.029998779296875,0.4269345218089438,0.33687756000635055,64,64,338.03125,355.8125,64,26.5625,17.78125,1.0
42,2026-06-28T15:40:43.561,4.120994567871094,0.42406609705722326,0.33400913525463,62,64,333.80645161290323,354.53125,62,28.919354838709676,21.596774193548388,0.0
43,2026-06-28T15:40:43.668,4.227996826171875,0.41468891393469454,0.3246319521321013,64,64,326.3125,343.578125,64,25.703125,17.265625,1.0
44,2026-06-28T15:40:43.757,4.3170013427734375,0.4049142894043295,0.31485732760173624,63,64,316.06349206349205,332.875,63,26.365079365079364,17.095238095238095,0.0
45,2026-06-28T15:40:43.853,4.412994384765625,0.3986957197524258,0.30863875794983253,62,63,309.7258064516129,328.3174603174603,61,27.0327868852459,19.524590163934427,0.0
46,2026-06-28T15:40:43.951,4.510993957519531,0.39702557243813436,0.3069686106355411,62,64,307.6774193548387,323.09375,62,26.096774193548388,16.161290322580644,0.0
47,2026-06-28T15:40:44.051,4.611000061035156,0.39705153334364907,0.3069945715410558,63,63,309.12698412698415,324.8095238095238,62,25.241935483870968,16.241935483870968,0.0
48,2026-06-28T15:40:44.149,4.7089996337890625,0.3970288704691198,0.3069719086665265,64,64,308.546875,323.25,64,26.515625,14.703125,1.0
49,2026-06-28T15:40:44.247,4.806999206542969,0.3970423325344529,0.30698537073185966,61,64,308.1967213114754,323.96875,61,26.721311475409838,16.918032786885245,0.0
50,2026-06-28T15:40:44.345,4.904998779296875,0.3970695620998588,0.3070126002972655,62,63,307.7903225806452,325.3333333333333,61,26.540983606557376,18.60655737704918,0.0
51,2026-06-28T15:40:44.444,5.003997802734375,0.39703411693872837,0.3069771551361351,62,64,307.88709677419354,323.859375,62,27.06451612903226,16.612903225806452,0.0
52,2026-06-28T15:40:44.542,5.101997375488281,0.39705723146951505,0.3070002696669218,61,64,307.55737704918033,323.390625,61,26.21311475409836,17.0,0.0
53,2026-06-28T15:40:44.678,5.237998962402344,0.3970569974729278,0.3070000356703345,62,64,308.19354838709677,323.828125,62,26.56451612903226,16.532258064516128,0.0
54,2026-06-28T15:40:44.782,5.3419952392578125,0.39703051939283646,0.3069735575902432,63,63,308.031746031746,325.4761904761905,62,25.338709677419356,17.79032258064516,0.0
55,2026-06-28T15:40:44.890,5.4499969482421875,0.3970421832007471,0.3069852213981538,62,64,308.11290322580646,323.234375,62,25.806451612903224,15.806451612903226,0.0
56,2026-06-28T15:40:44.966,5.5260009765625,0.3970576740912551,0.3070007122886618,62,63,307.96774193548384,324.3968253968254,61,26.34426229508197,17.16393442622951,0.0
57,2026-06-28T15:40:45.044,5.603996276855469,0.39703817375279316,0.3069812119501999,63,64,308.3015873015873,323.546875,63,26.49206349206349,15.666666666666666,0.0
58,2026-06-28T15:40:45.145,5.704994201660156,0.3970732641307717,0.30701630232817845,62,63,308.53225806451616,324.87301587301585,61,24.983606557377048,17.37704918032787,0.0
59,2026-06-28T15:40:45.240,5.799995422363281,0.39703919721455,0.30698223541195674,62,64,308.46774193548384,324.109375,62,26.516129032258064,16.451612903225808,0.0
