frame_index,reference_timestamp,elapsed_s,tcp_z_m,sensor_z_m,real_valid_zones,sim_valid_zones,real_mean_distance_mm,sim_mean_distance_mm,paired_valid_zones,mae_mm,bias_mm,no_return_iou
0,2026-06-28T15:43:03.851,0.0,0.48531307128216405,0.3951814593565862,64,64,393.484375,423.234375,64,29.8125,29.75,1.0
1,2026-06-28T15:43:03.953,0.1020050048828125,0.478022509163938,0.3878908972383602,64,64,387.4375,414.59375,64,27.8125,27.15625,1.0
2,2026-06-28T15:43:04.047,0.1959991455078125,0.46724556401240447,0.37711395208682663,64,64,376.0625,404.3125,64,28.5,28.25,1.0
3,2026-06-28T15:43:04.156,0.30500030517578125,0.4595223754105994,0.3693907634850216,64,64,369.40625,396.140625,64,26.921875,26.734375,1.0
4,2026-06-28T15:43:04.234,0.38300323486328125,0.45710879532731885,0.366977183401741,64,64,366.40625,393.5625,64,27.59375,27.15625,1.0
5,2026-06-28T15:43:04.342,0.49100494384765625,0.45706873620953314,0.3669371242839553,64,64,365.75,393.234375,64,28.015625,27.484375,1.0
6,2026-06-28T15:43:04.432,0.5810012817382812,0.45705793416198937,0.36692632223641153,64,64,366.328125,393.890625,64,27.65625,27.5625,1.0
7,2026-06-28T15:43:04.529,0.6780014038085938,0.45706873620953314,0.3669371242839553,64,64,366.171875,391.921875,64,26.09375,25.75,1.0
8,2026-06-28T15:43:04.636,0.785003662109375,0.4570930714028589,0.36696145947728104,64,64,365.703125,391.734375,64,26.84375,26.03125,1.0
9,2026-06-28T15:43:04.738,0.8870010375976562,0.4570511608160498,0.36691954889047196,64,64,365.953125,393.125,64,27.453125,27.171875,1.0
10,2026-06-28T15:43:04.825,0.9739990234375,0.457073132895259,0.3669415209696812,64,64,365.40625,393.25,64,27.90625,27.84375,1.0
11,2026-06-28T15:43:04.923,1.0719985961914062,0.45703567003953216,0.3669040581139543,64,64,365.953125,392.75,64,27.234375,26.796875,1.0
12,2026-06-28T15:43:05.022,1.1710052490234375,0.4570464614758981,0.3669148495503203,64,64,366.140625,392.515625,64,27.40625,26.375,1.0
13,2026-06-28T15:43:05.121,1.2700042724609375,0.4570481307382245,0.36691651881264664,64,64,366.15625,392.0,64,26.375,25.84375,1.0
14,2026-06-28T15:43:05.252,1.4010009765625,0.45704540229408835,0.3669137903685105,64,64,366.4375,392.921875,64,27.046875,26.484375,1.0
15,2026-06-28T15:43:05.363,1.5120010375976562,0.45705449626776756,0.3669228843421897,64,64,365.59375,393.265625,64,28.546875,27.671875,1.0
16,2026-06-28T15:43:05.455,1.60400390625,0.4570509812486825,0.36691936932310465,64,64,365.859375,393.390625,64,27.96875,27.53125,1.0
17,2026-06-28T15:43:05.546,1.6949996948242188,0.4570613694930763,0.36692975756749846,64,64,365.984375,394.34375,64,28.828125,28.359375,1.0
