time_stamp,data
14:32:14.115572,"[[0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0], [0 1065 1033 1006 1033 0 0 0], [0 1019 1004 1016 1010 0 0 0], [0 995 1006 997 1030 0 0 2079], [2063 1005 1001 1005 1016 2060 2095 1251], [1269 1293 1290 1266 1263 1278 1255 907], [893 913 911 910 906 929 912 0]]"
14:32:14.177321,"[[0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0], [0 1034 1009 1014 1021 0 0 0], [0 1003 1005 1012 1022 0 0 0], [0 1001 1018 1009 1036 0 0 2091], [2113 1041 1018 1032 1023 2090 2099 1293], [1282 1263 1248 1276 1296 1250 1271 915], [917 908 908 933 930 927 927 0]]"
14:32:14.300477,"[[0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0], [0 1044 1028 1023 1018 0 0 0], [0 1036 998 1014 999 0 0 0], [0 1021 997 1016 1032 0 0 2109], [2079 1015 1022 1028 1021 2116 2057 1254], [1263 1254 1243 1252 1262 1275 1252 939], [919 899 905 927 899 940 913 0]]"
14:32:14.359883,"[[0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0], [0 1001 1014 1035 1032 0 0 0], [0 1019 1026 1004 1001 0 0 0], [0 1014 999 990 1025 0 0 2103], [2102 1020 1035 1015 1024 2141 2105 1276], [1256 1272 1279 1307 1274 1264 1261 904], [898 908 920 940 930 906 907 0]]"
14:32:14.421205,"[[0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0], [0 1046 1001 1023 1040 0 0 0], [0 1007 1007 1007 997 0 0 0], [0 1025 1011 1032 1019 0 0 2092], [2100 1044 1010 1018 1048 2082 2115 1252], [1281 1274 1266 1266 1260 1289 1250 919], [923 934 922 909 910 913 913 0]]"
14:32:14.488393,"[[0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0], [0 1023 1034 1019 1034 0 0 0], [0 1012 1002 1008 1023 0 0 0], [0 1022 1003 1005 1009 0 0 2081], [2096 1038 1052 1002 1031 2100 2046 1270], [1249 1269 1266 1267 1273 1248 1280 900], [911 919 917 947 907 901 889 0]]"
14:32:14.555073,"[[0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0], [0 1033 1011 1017 1022 0 0 0], [0 1007 1000 995 1038 0 0 0], [0 1003 985 1014 1013 0 0 2106], [2065 1057 1015 1007 1046 2080 2046 1277], [1259 1285 1256 1268 1261 1260 1274 914], [896 914 905 902 919 917 915 0]]"
14:32:14.619186,"[[0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0], [0 1012 1023 1000 1031 0 0 0], [0 1005 1020 1007 1043 0 0 0], [0 1029 997 997 1042 0 0 2112], [2096 1011 1031 1019 1024 2093 2078 1276], [1263 1274 1288 1271 1245 1266 1275 920], [933 911 945 906 930 910 931 0]]"
14:32:14.753921,"[[0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0], [0 1026 1022 1016 1006 0 0 0], [0 1013 1003 1020 1003 0 0 0], [0 1024 1034 982 1026 0 0 2118], [2066 1019 1011 1009 1027 2085 2078 1262], [1263 1288 1279 1266 1266 1262 1276 917], [919 930 902 917 927 931 936 0]]"
14:32:14.807197,"[[0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0], [0 1014 1003 989 1024 0 0 0], [0 984 1011 1000 1011 0 0 0], [0 1000 1028 987 1014 0 0 2123], [2110 1019 1026 1011 997 2085 2076 1270], [1260 1272 1253 1275 1282 1265 1285 898], [916 904 925 931 928 936 929 0]]"
